,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-28 - 028 - 118 bpm - groove-y funky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-29 - 029 - 170 bpm - metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,1.0,9.469308899863215e-05,0.6521599511187531,7.266497924733846e-05,0.8995144162559305,0.4275667477016621,0.00864406074576826,0.00016409712549449737,0.9978697054671373,6.195689556821964e-05,5.78274095483711e-06,0.8101460530747158,0.2574530228937861,1.5756215388139118e-10,0.6720230445549228,0.00039523680590678974,0.9365818055141248,0.9177861086729963,0.4485123457582657,0.00018113339695627743,3.5461109317654265e-05,0.9538821023214644,0.9060305078790066,2.822886973956476e-08,0.7117474012259796,0.9840471901776003,0.4376159308421281,1.2906143226630494e-06,0.9864970611820408,0.5941263705094755,0.6416060590047699,0.14094416555551398,0.5100013322703105,8.731936259309016e-12,0.9464339192597222,0.9455496160450646,0.9680295574586902,0.824763700160045,0.9943715182197435,6.317027505206052e-23,0.9917444700595125,0.9492603890527441,0.6478317487866512,4.948188143941518e-05,0.28171767973221656
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,9.469308899863215e-05,1.0,3.276032711879921e-23,1.6425658105395923e-10,0.469006083757115,0.8322131812631207,0.0601229771667971,0.0023107052325862464,0.24726320580749286,5.7829876843479035e-05,0.5659285310165499,0.7507064256402989,0.056636366555132135,0.818215024032615,5.0583765068016805e-08,0.9834668979964034,0.2323510953117076,0.4341203567502344,6.111555757521909e-13,1.2023745362181424e-07,0.1695863619562995,0.605265240120183,0.8856244018584092,0.33075971127147236,0.8530554600287646,0.5732460251086334,2.2776948714365753e-08,0.8942041769422937,0.18217799643284913,0.8192273426227533,0.8127271997470001,0.015470014765011631,0.3055686728078443,7.318098444169735e-09,6.48512526964399e-06,0.5394335752832564,0.9138198777928158,0.695599106331974,0.523388550672602,0.7181216643270503,0.9979284365029991,0.26214791899597134,0.5794313214629166,0.48532451633969054,3.559979925019367e-10
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,0.6521599511187531,3.276032711879921e-23,1.0,0.4778672725063089,0.04882884441712209,0.9332453443078328,1.0526336059663093e-05,0.01597237450392905,0.012758348306705728,0.046169062434839266,0.22196513110312438,0.7825396187884621,0.4734331765067659,0.877754178773472,0.05308105091256346,0.2662035744386983,0.7717288905478945,0.10816597203890796,0.7985989540986295,0.00039566443462368903,0.194492315374201,0.000675898042163127,0.39414364371279903,0.35132008531511977,0.002359187780142173,0.5106286815318414,0.825102312871291,0.3918645837499192,0.17823554040832593,0.8318909117609399,0.4033441727891816,0.025963570132956016,0.9073087370380293,0.8451614688090618,0.9968163389652845,0.041678272011049344,0.8950733024584845,0.535093943840504,0.16002789598843198,0.7517442892506229,0.06446223655234497,0.2721948350654192,0.023054968054849093,0.0242301774818914,0.0073715257689984754
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,7.266497924733846e-05,1.6425658105395923e-10,0.4778672725063089,1.0,0.9999986293335154,0.8472780559025687,0.003111632220693725,0.6880498440496765,0.9083652121379203,0.000127740110480235,6.370754020371774e-05,0.046888229877382386,0.07271614409287473,0.9823702339503434,0.918844658749132,0.7320317985437261,0.99701132380689,0.9983615209235729,2.819847538811481e-06,4.018793747883672e-05,1.2105229031010552e-05,0.9796572469409449,0.9999930923398884,0.9758442337855437,0.9363551249509309,0.00011786014686252274,0.999760625190805,0.07479769277400658,0.8152385980402912,0.9966982737456981,0.878456767712377,0.2794499475702684,0.10659461629232107,0.8616963185761508,0.7459866793594591,4.8180955589541695e-11,0.01745215751258037,0.5348554225957319,0.14319124060185684,0.7293702716097856,2.190997692693579e-07,0.9996914080616262,0.9989383309814902,0.29745690351158544,4.849394029008084e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,0.8995144162559305,0.469006083757115,0.04882884441712209,0.9999986293335154,1.0,0.8437515708597542,0.01319264720875443,0.6885314666975602,0.17973856589920714,0.0001292946140908414,0.9492361860507988,0.04958407850311457,0.5440832726491428,0.00038916085629386047,0.9157050153348432,0.744035529683609,0.9967636713056781,0.9982732651830938,9.0449241402285e-24,2.90368441881969e-05,0.9831277125843855,0.978249556564605,0.9999861559455835,0.9751045795079346,0.9355686095869581,5.037758257079671e-31,0.9489383426071138,0.9819129228098538,0.808805934489423,0.036075060335005474,0.8832856556084834,0.032689340101892374,0.11585195106809675,8.897180793938521e-11,7.931202647372606e-05,0.8139028998781307,0.9762387383291498,0.8917496571511663,0.8403712389289802,0.9097392352140913,0.846898246787998,0.013936371441124865,0.998953070215076,0.8217978993451674,1.944680885918251e-15
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,0.4275667477016621,0.8322131812631207,0.9332453443078328,0.8472780559025687,0.8437515708597542,1.0,0.09915385774803603,0.9552839294663004,4.9660714185294957e-11,7.666832349206397e-05,0.6466748229330995,0.9935800251314194,1.0682672986675497e-14,1.4821855491501e-16,5.077228091085299e-05,0.9096862785473545,0.8092221207476035,0.2500990987890797,0.15602192693814732,1.7690784979607164e-06,8.394359008800395e-16,0.0002385664097163763,4.5391908794216894e-07,0.9626663911439377,0.9976642744803608,0.014588702327310141,1.0536058486023573e-09,0.7371300043733211,0.47672148427060185,0.99998549903046,0.0001017150084302135,0.04195415814235156,0.026684734234756452,0.9998248331069536,0.3838668312913273,1.0657859809499806e-10,0.75820465637886,0.000469564811568237,0.00011910442251459168,0.9858824035768221,2.5387309891569828e-11,0.5932205988844481,0.9430263508645105,0.04987471283974444,0.00014264838989888273
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,0.00864406074576826,0.0601229771667971,1.0526336059663093e-05,0.003111632220693725,0.01319264720875443,0.09915385774803603,1.0,0.1367813503520948,7.925961696499768e-19,0.3695256446728382,8.26750267075994e-06,3.796802013521731e-08,0.009796678785970627,0.1669288424036865,0.8232611272375648,0.0373226483964027,0.0071072107774749396,0.06790072704436637,7.221545506181294e-08,0.3771165283127697,1.770003274672163e-05,0.3903358446322074,5.5884274880936346e-12,0.061705793520760596,5.1122264369426525e-25,3.5512982122174046e-15,0.001476307875241729,0.2857254942014335,0.45347769906424207,0.0003615480511526279,0.9102135460816804,0.9601503931948764,1.2075338954644587e-21,0.14687138484951093,0.6318397895080143,0.0021860974148819436,0.5613696101952578,3.1916841128758e-13,0.20596105618299132,9.837900679997851e-14,0.10116547732485698,0.005151781267211889,0.00516428184171141,0.6276841983022279,0.1597645138167307
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,0.00016409712549449737,0.0023107052325862464,0.01597237450392905,0.6880498440496765,0.6885314666975602,0.9552839294663004,0.1367813503520948,1.0,0.4346584854351932,1.265759165861907e-07,0.29229440247219857,1.9937097085567943e-06,0.8605853441149165,0.002792479875481731,0.9979156838198238,0.0063764327453588315,0.6472079564943223,1.9970500486760165e-11,0.00048251380774662345,5.52075354648355e-07,0.5228515871148482,0.0018969285151037491,0.9859112631053939,0.5237955392561746,2.3434425740090275e-27,0.903680617511678,0.6427265179310208,0.5449187611665302,0.31255246157887817,0.4916861191150572,0.9546054686014851,2.9046157946962288e-05,0.013722817700635983,1.486016351601535e-07,2.6468777895763404e-15,0.0017223913072645658,0.9823931470656,0.8743080498283884,0.3339718232211246,0.8916090980082666,0.9079779391664117,3.527679247567713e-15,0.8130014665216746,0.6692477101771519,1.7088072584821484e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,0.9978697054671373,0.24726320580749286,0.012758348306705728,0.9083652121379203,0.17973856589920714,4.9660714185294957e-11,7.925961696499768e-19,0.4346584854351932,1.0,0.00011143171654341512,1.5629900745184018e-18,0.8585209889761805,0.574846992181722,0.8392631109217726,0.7118718199636711,7.901833720163108e-07,0.9557092479111162,0.9454074290662177,7.196181416826764e-27,8.975723245918645e-05,0.9814006477833214,0.07531716978248473,0.0021861940915974473,0.7658205582632538,0.7604087930156084,0.7631763406906077,9.767502825314808e-08,0.9762541799645499,0.850436488960248,0.893674527045026,0.6762608910435265,0.9226355628249736,0.2119709833322927,0.6463981552010095,0.9282599357885322,8.390092377180741e-10,0.6670412893037677,0.9683191545893298,0.9861309449950914,0.8028813923519821,0.6968813267414348,0.9684310522371685,0.9008055635470914,0.7683286418851393,2.0382842367130952e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,6.195689556821964e-05,5.7829876843479035e-05,0.046169062434839266,0.000127740110480235,0.0001292946140908414,7.666832349206397e-05,0.3695256446728382,1.265759165861907e-07,0.00011143171654341512,1.0,0.6707945519346276,0.00015935635501145677,9.664943757119534e-07,1.2331657527873206e-05,8.707938498416875e-10,0.023584645964496016,0.012648283196393096,0.04268059685682787,0.0008968850155615154,0.47157181834663087,0.0004915220987671959,0.7479561352260495,0.0036853320687474946,0.038134543366093655,3.3233936087339084e-05,8.96752463760678e-05,0.28016632995807456,4.486684281256172e-09,0.3666344918321546,0.0002153756375761236,0.0004383372396943534,0.04178780318648247,0.40917146230996154,0.11738439723918297,0.5301532488074988,0.001054515852403811,0.5031577974472684,0.06711247732281238,0.010974285132682664,3.2320789016637137e-07,0.22850500415555144,0.6620496864286808,0.000633314580996042,0.0006323684555828503,0.42497203584626025
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,5.78274095483711e-06,0.5659285310165499,0.22196513110312438,6.370754020371774e-05,0.9492361860507988,0.6466748229330995,8.26750267075994e-06,0.29229440247219857,1.5629900745184018e-18,0.6707945519346276,1.0,0.08133338878865384,0.8853867112009126,0.21456258825917338,0.01409954049557471,0.012949596718850888,0.006281362955727689,0.05553396672465089,0.15481558310933943,0.10641081184668734,0.0009831629064939592,0.28013744053898443,0.9737433893527769,0.19472457372843746,0.397037903461695,0.007874018786838204,0.5033106161834926,0.02522762032240272,0.023293252006679734,0.18790938532653215,0.5071366102065973,0.6575266654799953,0.01134477298236213,0.4971236809810362,0.502742546426086,0.002982548921039692,0.0009842931940687034,0.009819538211830634,0.27625958936176864,0.300944883795005,0.06718639729755066,0.0013668874146784114,0.08331193162844545,0.004186692827886478,0.0012999550543213963
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,0.8101460530747158,0.7507064256402989,0.7825396187884621,0.046888229877382386,0.04958407850311457,0.9935800251314194,3.796802013521731e-08,1.9937097085567943e-06,0.8585209889761805,0.00015935635501145677,0.08133338878865384,1.0,0.7403890412667714,0.5627775200132684,2.2647446928518955e-05,0.8591717359244045,0.00010799324756450211,0.8641983815205837,0.0033096768074859025,4.368921501340472e-06,3.700024881866419e-08,0.9646884414492228,0.9754853071092389,0.9863111134378552,0.9953452997874991,0.6420650641773923,0.9959656055526489,0.061859032391008796,0.5408850575525364,9.5917229100388e-06,0.003958862674774579,0.4200357624254915,0.027268982301430288,0.995820335147533,0.0011556736281446009,0.3695424331291443,0.971885235430124,0.002154459570633001,0.5532566020618022,0.9894252969039573,0.9996400511594812,1.0762531939180763e-05,0.7747603104793336,0.26762640754725275,1.6096536280067603e-07
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,0.2574530228937861,0.056636366555132135,0.4734331765067659,0.07271614409287473,0.5440832726491428,1.0682672986675497e-14,0.009796678785970627,0.8605853441149165,0.574846992181722,9.664943757119534e-07,0.8853867112009126,0.7403890412667714,1.0,0.8321670470693026,0.7105177766749577,0.500576286941042,0.95180702725364,0.9413055911896161,2.2196701472684064e-17,0.00011428028353737657,3.941377539036079e-05,0.9420331479490001,7.156025514056574e-16,0.9814884396745829,0.7398490581929706,3.8641467812878087e-11,0.9275781059272121,0.9751371988343511,0.9766804415650443,0.8905929835579999,0.6655575695215298,0.09351041743359241,0.22767076193174635,0.6453226796404887,0.9287496222012013,1.11321946274838e-09,0.9812513161039486,0.9689379833894716,0.5726706108278827,0.5710413544186713,2.2686722526345383e-06,0.9657773232585473,0.9014480497848844,0.42307150022129614,6.532847120437924e-06
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,1.5756215388139118e-10,0.818215024032615,0.877754178773472,0.9823702339503434,0.00038916085629386047,1.4821855491501e-16,0.1669288424036865,0.002792479875481731,0.8392631109217726,1.2331657527873206e-05,0.21456258825917338,0.5627775200132684,0.8321670470693026,1.0,0.9749519974358252,7.888176724151619e-07,0.9662787063054719,0.9673659244667882,8.595137748077555e-19,3.8661069764063094e-31,1.1702835113050865e-05,0.0007132380894423481,0.9814134260062762,0.9164184873851029,3.1739887166244215e-10,0.9671212218441292,0.976318691465139,6.108682121980777e-22,0.7068724367120975,0.1936840226661727,0.6268889271055597,0.07489149501305105,0.06885181109737334,1.2396798297684365e-06,0.6314316153291177,7.300917112155869e-10,0.8761447741049934,0.42442677697460496,0.18722150494272,0.9820886818783706,1.0022411487762177e-07,0.8040052761996199,0.7046617792356774,0.874176648433741,0.0005445483871039811
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,0.6720230445549228,5.0583765068016805e-08,0.05308105091256346,0.918844658749132,0.9157050153348432,5.077228091085299e-05,0.8232611272375648,0.9979156838198238,0.7118718199636711,8.707938498416875e-10,0.01409954049557471,2.2647446928518955e-05,0.7105177766749577,0.9749519974358252,1.0,0.8363361609676473,0.6881603441255837,0.6212811263740251,1.274510424710002e-37,8.380434749446593e-06,6.266223139339136e-12,0.5013409478281662,0.961536874543563,0.02405006951080881,0.9990144114605184,3.7032459582914115e-10,0.9036333310403314,0.821253476464285,0.9221271333080187,4.840009714126706e-12,0.00020684977423630817,0.5101974877451968,6.044802449001944e-05,0.9917159441485464,1.853221283657385e-05,0.9930780842772748,0.8156591787885877,0.0397045424801177,0.9912113195867385,3.213396078275683e-13,0.0027726694165723193,0.9312696456531723,0.9769222879962335,0.6498420465012464,3.471893233166171e-07
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,0.00039523680590678974,0.9834668979964034,0.2662035744386983,0.7320317985437261,0.744035529683609,0.9096862785473545,0.0373226483964027,0.0063764327453588315,7.901833720163108e-07,0.023584645964496016,0.012949596718850888,0.8591717359244045,0.500576286941042,7.888176724151619e-07,0.8363361609676473,1.0,0.8698951450377294,0.5702627987487244,6.427088795417196e-13,2.7865906527174366e-07,0.04637094244635816,6.266466764556721e-11,0.26517205405159794,0.0003595949089141189,0.9288980806587204,0.30926600799387594,0.5553082685753657,0.448452544963564,0.2492188403430073,0.8947376856649549,0.8911237024318429,0.4998321653626209,0.008292970074425785,0.5735100191541633,1.3228945549500368e-06,1.9902273819602056e-08,0.12616030424546032,0.09250099291316878,0.8590784073418961,0.8206886500141807,1.9103155383966577e-09,0.36649599778203584,0.2269952435846151,0.020939483668334705,2.3049183607436644e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,0.9365818055141248,0.2323510953117076,0.7717288905478945,0.99701132380689,0.9967636713056781,0.8092221207476035,0.0071072107774749396,0.6472079564943223,0.9557092479111162,0.012648283196393096,0.006281362955727689,0.00010799324756450211,0.95180702725364,0.9662787063054719,0.6881603441255837,0.8698951450377294,1.0,0.9647269243973231,2.808679388332993e-38,4.227768953654043e-06,2.051352391988485e-06,4.636685003293776e-07,0.9709052841759511,0.9052990643878208,0.5782861140089003,0.9788173547690757,0.8788294586235402,0.7931130005975859,0.5464701950579979,7.01729877236243e-06,8.845655694162384e-05,0.32084939322884176,7.012203212520369e-05,0.9950413540466104,0.4301782957354575,0.006333652281120494,0.879716838742578,0.1064594703811833,0.7679292969888604,0.9105974871280945,0.029851974267312464,0.6740396392663096,0.9752658651860606,0.3586463615232426,1.476019602042416e-07
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,0.9177861086729963,0.4341203567502344,0.10816597203890796,0.9983615209235729,0.9982732651830938,0.2500990987890797,0.06790072704436637,1.9970500486760165e-11,0.9454074290662177,0.04268059685682787,0.05553396672465089,0.8641983815205837,0.9413055911896161,0.9673659244667882,0.6212811263740251,0.5702627987487244,0.9647269243973231,1.0,3.2540801169198606e-29,4.0126271064213307e-05,1.1359951546603919e-05,0.9636258796717028,1.300416987535587e-26,8.750752548053967e-05,0.9029930426637048,7.603461335451774e-05,0.6776417038802849,2.600071780796509e-06,0.8530744737437655,0.7344548636629586,0.8512484106411553,1.7424871885737444e-23,0.00022718191457290826,0.8324120619287521,0.7791345191063307,0.8463496466188537,0.7900829473098807,0.5778482971015897,0.0017877681082842673,1.3470742523691304e-06,0.592125376297572,0.9970127201776074,0.9944026863484946,0.47482276483459823,0.0006358084265531863
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,0.4485123457582657,6.111555757521909e-13,0.7985989540986295,2.819847538811481e-06,9.0449241402285e-24,0.15602192693814732,7.221545506181294e-08,0.00048251380774662345,7.196181416826764e-27,0.0008968850155615154,0.15481558310933943,0.0033096768074859025,2.2196701472684064e-17,8.595137748077555e-19,1.274510424710002e-37,6.427088795417196e-13,2.808679388332993e-38,3.2540801169198606e-29,1.0,0.0353070461529428,0.7392424399430951,0.11462346664425657,0.006830849551116651,0.9867805774041817,0.9740538720724161,0.9520682955265115,0.9954391973699724,0.15319615177273627,0.5218413520347432,0.9118651757866242,0.9176772643326923,0.6161011336694187,0.8577114070699369,0.9165089619089557,0.0006745238169288207,0.8367266299342914,0.008632162794643454,0.0009490614856806357,0.32063394120234573,0.0018078374106716426,0.5610024741055311,0.8171320750407919,0.22881020731456891,0.8660787044757097,0.11020604312558506
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,0.00018113339695627743,1.2023745362181424e-07,0.00039566443462368903,4.018793747883672e-05,2.90368441881969e-05,1.7690784979607164e-06,0.3771165283127697,5.52075354648355e-07,8.975723245918645e-05,0.47157181834663087,0.10641081184668734,4.368921501340472e-06,0.00011428028353737657,3.8661069764063094e-31,8.380434749446593e-06,2.7865906527174366e-07,4.227768953654043e-06,4.0126271064213307e-05,0.0353070461529428,1.0,0.000487732958918436,0.35831331352862844,4.978345320383435e-07,0.0003754117763498191,0.11929823912007864,0.16355404817753819,0.6389055338288417,0.03599490085154991,0.045130881909715884,0.011767887599469562,0.4429333767867836,0.16315644799998008,0.6978276926096917,0.22215137571735932,0.7024144530528493,0.5088843388558189,0.8086928384723996,0.6172263326294938,0.9026006257590742,0.5867318935965684,0.4318039284939517,0.3437444228158295,0.010266686938425805,0.4078474472276594,0.2369559979581357
