,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-28 - 028 - 118 bpm - groove-y funky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-29 - 029 - 170 bpm - metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,1.0,0.9592553630364576,0.9990906705689689,0.9999862405455056,0.9774408434516108,0.5182797515236209,0.0,0.0,0.0,0.0,0.0,0.0,0.8930890633983514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,0.9592553630364576,1.0,0.9778372007707021,0.9652346932347082,0.0,0.0,0.9478406828658461,0.9995158160884142,0.0,0.0,0.0,0.0,0.0,0.996049705572732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,0.9990906705689689,0.9778372007707021,1.0,0.9959864315794098,0.0,0.0,0.0,0.0,0.9999999330725572,0.0,0.0,0.9999885504019982,0.0,0.6121969652658592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,0.9999862405455056,0.9652346932347082,0.9959864315794098,1.0,0.9829463368688288,0.0,0.0,0.9690963109554214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9497955439468956,0.0,0.0,0.9999625789947981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,0.9774408434516108,0.0,0.0,0.9829463368688288,1.0,0.0,0.0,0.0,0.0,0.9166122801960723,0.9884161720383414,0.9991007244445169,0.0,0.0,0.9794671784631163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,0.5182797515236209,0.0,0.0,0.0,0.0,1.0,0.1123592263885287,0.0,0.0,0.07694782891930152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029539601380943425,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,0.0,0.9478406828658461,0.0,0.0,0.0,0.1123592263885287,1.0,0.9822536423615182,0.0,0.0,0.0,0.0,0.9858497193890384,0.0,0.0,0.0,0.9761628787045599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,0.0,0.9995158160884142,0.0,0.9690963109554214,0.0,0.0,0.9822536423615182,1.0,0.0,0.0,0.0,0.0,0.0,0.9988769327389192,0.9999990111578496,0.0,0.0,0.0,0.0,0.9399292362273161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991946259600107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,0.0,0.0,0.9999999330725572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9635258704869304,0.9999691115580503,0.0,0.0,0.0,0.0,0.0,0.743147616785094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,0.0,0.0,0.0,0.0,0.9166122801960723,0.07694782891930152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834217178903514,0.0,0.0,0.0,0.3251861414791133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,0.0,0.0,0.0,0.0,0.9884161720383414,0.0,0.0,0.0,0.9635258704869304,0.0,1.0,0.0,0.0,0.0,0.9992070893269472,0.0,0.9192370738544574,0.0,0.0,0.9999738995019611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,0.0,0.0,0.9999885504019982,0.0,0.9991007244445169,0.0,0.0,0.0,0.9999691115580503,0.0,0.0,1.0,0.970484042978231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9489409322298199,0.0,0.0,0.0,0.0,0.0,0.0,0.9987322628463696,0.9999001338166031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,0.8930890633983514,0.0,0.0,0.0,0.0,0.0,0.9858497193890384,0.0,0.0,0.0,0.0,0.970484042978231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971423656986137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019502718036168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,0.0,0.996049705572732,0.6121969652658592,0.0,0.0,0.0,0.0,0.9988769327389192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9263956794045373,0.0,0.0,0.0,0.0,0.0,0.0,0.7630909800641876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980908161180747,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,0.0,0.0,0.0,0.0,0.9794671784631163,0.0,0.0,0.9999990111578496,0.0,0.0,0.9992070893269472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9844636358281482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118234585037454,0.0,0.0,0.9999959172111034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,0.0,0.0,0.0,0.9497955439468956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9263956794045373,0.0,1.0,0.9991538805695132,0.9981437145137432,0.9389176885275498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752446590140681,0.0,0.0,0.9967791912889401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
